nds-5fa2456c62e6b6ebe84a0f4963acad5b	Laat uns wat versöken!
nds-795a67c01ce9e1f96788c5a97adc0861	He is veel öller as Ken.
nds-df3290a7790ea310332fa625ea8d1bf2	Ik heff to doon.
nds-636be8f036500280738837f8d014b38b	He is bang, Fehlers to maken.
nds-a27327c45e4110b6fa1454cc012b97ad	Dat is winnig vondaag.
nds-df320b3411aa3d70ffad6f805146631f	Mien Vader leest elk Morgen dat Daagbladd.
nds-98d7cfa734dbb63a085e982e99349e68	Ik dach, he wüss allens över Japan.
nds-37a256b6e0bb7609ac171410c468a301	Mien Moder kann nich kamen.
nds-8e92da627f43f7f574ba1ce63ebde442	Hest du japaansche Dagbläder?
nds-aa7c6d923495daef650dd25ac54a2924	Se hebbt versöcht, den Präsident ümtobringen.
nds-ee78a70afca148467f7ba79f2b484083	Ik heff een schreen höört.
nds-1784a9b2ba6ab0dae5b47a054a527109	Se itt jüst Middag.
nds-c9ffdd9fe885df0c76c06e3e29f3c759	He stell mi en Fraag.
nds-3bf15ab93d0d5a8e357c44913726f1fb	Susie hett mi twee Böker utlehnt, de ik noch nich leest heff.
nds-cbce73d72f104f11ecc41dbae95999b7	Ik miss ehr so dull.
nds-e7f81c684218c9a60b013d48cdbef41f	Ik deed ook geern wat seggen.
nds-a1375bf4cc7736a55bc7e0cd3e9d6682	Siene Tasch is güstern stahlen worrn.
nds-4915c4d04b9888e198f9f19294d1a589	He hett mi verspraken, Klock veer to kamen.
nds-c3ca983bb6d719564f7dc2aa6d72a2d7	De Shinano is länger as all anner Strööm in Japan.
nds-4cdd5a644ce00830954d8f9ae846ea18	De Maand schient nachtens.
nds-c250e7d94d9a16f29144f61a0d3db210	Ik glööv, he hett recht.
nds-2e965eb0eebeff39b23b1a720b55feb1	Man ik kann good kaken.
nds-3f0d2a40a505eac3fe78b9f04480aa14	Ik heff mien Klock verloren.
nds-9865ae3601991199800d62f8e43d3c71	Ik gah to Foot na School.
nds-79edaf76df4786478230f00725fd77bf	Woveel köst disse Klock?
nds-40eef6bd1f43491e115fdc36b1e65f14	Worüm hest du dat so hild?
nds-f985b628a7a54f7d7aa1a063bf354607	De slips passt nich to mien Antog.
nds-e9b0f097358c72d47bd5b212fc6e7d04	De Slips passt good to dien Hemd.
nds-bf8f5da6db521e6ab4c2079e5f0691d6	Wo oold is dien Opa?
nds-aff269c99facd40cde7f4c2db62b1ed4	He harr sien Scherm in ’n Bus vergeten.
nds-fa3afcef11f0b22b2f09db0b1cc57e67	Dat is allens.
nds-c5198dfd68a28c23738bc9cd641b45c8	Hett sik rutstellt, dat he en Spijoon is.
nds-8f47276c93fcfbdba2909951030a6681	Miene Kamera is waterdicht.
nds-58e6d94c1e6be3cc3ba7e3608bf38ebf	Du schasst di gau an dat Klima hier wennen.
nds-e11dfa2985696c90268bcc6caf411fc0	Ik weer al twee Maal in Amerika.
nds-ccfb1982c80cbeb7395f82b6a7784ad8	Legg dat fuchtige Handook nich in de Tasch.
nds-f8d9b40b78f56371150043d18352b21e	Hest du dien Fründ de Naricht al vertellt?
nds-2a7162b849eaa052bce7585bdf18c242	As he de Naricht hören deed, weer he verbaast.
nds-2f3d68ac18d7b254d33604c96ccf8193	He quatert gau.
nds-3b828439850038f21af98b6071225ed5	Mien Maag grummelt.
nds-279ccf3ee455aefe5a36452996d8e861	Ik bün jüst ankamen.
nds-845098c2b03e757395124de3c8bbd41a	Se keem laat in ’e Nacht in ’t Hotel an.
nds-038f7c206fc4bbb6924b345ce5915af8	Se is in ’n achten Maand.
nds-4b1c722d0268b3a14211e2a52f4eb98a	Kann ik ’t Kiekschapp utmaken?
nds-0e956ec5a9f8ea81236934df40e77e2f	Mi rüüt dat, dat ik sowat daan heff.
nds-8bdb6ff42b233c60f4d1eb4b5397fce6	Sucker smölt in warm Water.
nds-1f2c0da84c907daec96231aa31c08941	He möök sien Glas leddig.
nds-bd137326dd6fe5e8e47c78a597095da2	Laat uns den Wiehnachtsboom hier opstellen.
nds-5678315c32ba68cb4d033292c5fb94b9	Geev dien Best.
nds-2d3a28b9dd218210fcfbbb3203a480ec	Büst du krank? Du süst bleek ut.
nds-f4e765a37af1ea28ff202d61fa9715b5	De Computer is nee.
nds-506e607a5eac707c5b44e7bf728dbca3	Disse Böker sünd nee.
nds-201c056faefa1e1053bb7b54b92fcc04	He kennt de Stad good.
nds-fbfaa4efd5743ac281c20b005c99afd1	Ik gah na de Stad.
nds-1ee498492f6b4d0d9e6283950dbafe28	De Appel is von ’n Boom fullen.
nds-12a009fb2a8a149d4374b8167dc0c968	Se mag korte Röck.
nds-60a63a3e515123b8f7612fb4f2f43b6a	Ik mag Katten.
nds-35e97dd9863de992b17e5e0bd9fcb557	Ik slaap geern.
nds-f3b7743c7727108f70235a9f264f9f77	He kummt villicht.
nds-6413c6686482eb0c7089fa05b105e9f4	Dat Avendeten kann töven.
nds-2b03b024f6a53d45df8b7b114584a6d2	Se kann nich swemmen.
nds-70382bb9ff46d702fdd2e4297a304c7c	He weer villicht krank.
nds-f0884a88fc761cd49577a3d18aec9bc7	Kann dien Broder Autoföhren?
nds-9d5efb908eb5d23fa247942741ba0f7d	Köönt wi uns en neet Auto tügen?
nds-29526d75dedd140e12378889dc340cdd	De Daag warrt bilütten körter.
nds-addce75064892baefc0c130265722734	Ik bün en beten mööd.
nds-b8b0659474648d8f46cee1fa25809532	Ik heff wenig Geld bi mi.
nds-87b260d5395c6e5343f04a6363dfdac5	He hett en beten Geld.
nds-f638988ba4a51e5f2f502a7c2f788bc8	Wo lang is se al krank?
nds-9293c65ce7302d2604f87540108d0f07	Dat is to hitt.
nds-9543083cb9a310e8561ed6026afe021e	Dat is hitt vondaag.
nds-58e591c03050ba7415af478a4ebf6e79	Dat is nu temlich koold.
nds-db2ac287cc249cd1338a67a9c03ee4c7	Dat is temlich koold hier.
nds-d33a636c27c54797c223dab731333c75	Worüm is dat so hitt?
nds-1830205325be3eead1f7e9590d9a8d4a	Du hest en Fehler maakt.
nds-afff87f2d09c740beff59f81291c341f	Dien Vader is groot.
nds-0729186727e011e17c3d5166afa8d9f0	Ik bruuk dien Hülp.
nds-ad181d7954763c0b0cb9a3e12445b3ab	Ik heff di för dien Vader hollen.
nds-d27cc066061c4f238928994e70c5431b	Ik bün öller as dien Broder.
nds-17279d7866b78caff7029a1716eb7912	Hier is dien Hund. Woneem is mien?
nds-718ddb2aa72633d17a8e34ea617295ad	Kiek dien Katt to, denn lehrst du ehr kennen.
nds-bd6255e32889c801763e5bc32df06ce8	Ik heff ut versehn dien Scherm nahmen.
nds-e990056945264f3da0dcafee83fa7474	Op ’n Disch sünd Kattenpoten.
nds-1854790eb7beaa493169977a4af2524f	He deed na sien Hund flöten.
nds-17e33f4d1445a5ba078f8b6631ed88fe	He is ehr Fründ.
nds-d11c5c6490a68342cff1c65b98dde3c1	He nöhm ehr Geschenk an.
nds-331580e6e4ebaa4007a540231c27162e	Ehr Vader is Japaner.
nds-b07f02dd18b04d006f329eeb8528de14	Dat sünd miene Böker.
nds-de15267c1caa5fd7d33ee8b898c00c56	Ik heff sien Naam vergeten.
nds-94716304313de5dc2368dbc2d30ccc66	He schall woll vör Klock fiev trügg wesen.
nds-8b325c1f1dbdb18cf42edd2a1020bfa6	He hett en grote Famielje.
nds-74a30dd7fe5923c9a71d8573614807e4	En Vagel hett Flünk.
nds-5e8f72419a37292914e63bea2341054c	En Vagel hett Flögels.
nds-052f00a21aeb7519d37df88dfd33a10c	Spaansch is ehr Moderspraak.
nds-f3e2346320202ea161296b15eb4bb760	Mien Vader is jüst na Huus kamen.
nds-b86da9b922cbb74a9be861b0c63b8d83	An wat för en Dag hest du normalerwies free?
nds-7a4f985e344900bd891316762e5c7883	He deed noch wedder fragen.
nds-bc87b97dfd5eee4d48463ed0fcbc60dd	Siene Temperatur is normaal.
nds-bbd230b1b65842c6e3c363a72388a7c8	Woneem is sien Famielje?
nds-aeabcaba2abe560f57b17201ed78de07	Sien Kamer weer nich oprüümt.
nds-b733ebbcf190410e7b37f86d049759f2	Se hett lang Hoor.
nds-71938423cc0b2432e00a691a9ad2f575	Wo lang duurt dat?
nds-c355052813fb0cbadfcbda6e60aad928	Wo lang bliffst du?
nds-7ec94a47aa0c975931333a4f907fdd71	He hett en lange Nees.
nds-c563bd741ee5bee21ce50b277bd35354	De Ries schall dat Water tohoop opnehmen.
nds-c0464f35a5e0debbc7aa2903730a673b	Stell dat Auto in ’e Garaasch.
nds-c4944c96e4171304bb431bca8ed1c833	Wi hebbt uns güstern avend noch wedder streden.
nds-d84cf14af6922584077ff7d34e29b054	Wi snackt all Engelsch.
nds-ac41cbf14d151084953a9dc7c330b183	Wi gaht na Huus.
nds-9f913db297f94698e54c6db40d7f425a	Wi sünd Studenten.
nds-a14d8f008ea7648273fd03dd5b6bcfa2	Wi hebbt noog Water.
nds-2749e4cb1ea979d7b49b28a6f96b2a27	Mööt wi den Bus nehmen?
nds-5f70cebd880f21e7cb31bfb10487ba81	Wi nöömt uns Hund Pochi.
nds-7c06f3b1f1ab1a97f6c0b4a9a881b047	Melk maakt uns stark.
nds-5e7f0275a2398d91fdf0f8ff129b7f63	Wo smuck disse Bloom is!
nds-8ca5d4a06cd35ca4852016b5154bc766	Junko is en smucke Deern.
nds-f5aaf809d41dc6c3f616d37f3b4a67d7	Wo smuck se is!
nds-bed94292409ab81b533be48d3718db7f	Wat ’n smucke Bloom!
nds-ce342f9f9d431c827f9773b91f00ea3a	Wat en mooie Bloom!
nds-8033c95be622f950356b55d4f6cacf17	Wat för en schöne Bloom!
nds-36c80eb71620e12086be49bf2b96bed6	Se mutt smuck wesen hebben, as se jung weer.
nds-4b5be4090cc6e371fc056316b01e9b84	Kannst du ook op Italieensch tellen?
nds-99d17f7081cc8e903611dc1225d282a1	De Priesen sünd hoog.
nds-0408fc9e3848ec813f386562cf3b96c6	Siene Schoh sünd bruun.
nds-c95cf08dddbf377185654ef199d2ac29	Miene Öllern sünd oold.
nds-f8e9a1756d9973507a973da76a403d59	Woneem sünd de Schoh?
nds-9ba9fd4e567401c06e259a3c19b1f185	Ehr Ogen sünd blau.
nds-2d0ca255593cfb95597a7fb58a967a62	Bob un Tom sünd Bröder.
nds-81ea4361bb541749706e389b48026144	Sweden hett en egen Spraak.
nds-0db7bdc8b1735a4dd0442121dd4aa348	Wat för en Spraak warrt in Ägypten snackt?
nds-3698bd8494381bebb2fe44125d0da88b	’Keen is dien leevsten Schauspeler?
nds-770dd5a9f43f5bef16b6866c92cd9dbc	Wies mi en anner Bispeel.
nds-8911368296e03cfdc02a0590721ef926	Ik fang morgen an.
nds-1cf76a820eb94029526beb4c88df7a72	Bet morgen in ’e School.
nds-17599e203fda3a28fd1c1df854e73cd1	Ik besöök em morgen.
nds-ca09474d43736e84bd41e48f52ceb165	Güstern weer ik krank.
nds-5e2f0f218dfaa5915dc9f75739bcd9fa	Güstern weer Sünndag.
nds-0809407a511cb54b9250f8280698b33e	Güstern weer dat warm.
nds-ba9700a77e1d63df3a0a42d155eca749	Güstern weer dat koold.
nds-a02dda5fb3b410f2ac1592e7f2ac3867	Dat weer güstern koold.
nds-fed11fd9c18812a380339c8ea49821a6	He drinkt sien Kaffe geern ahn Sucker.
nds-23ffdc487b50a8d80ed0c9e002b58d64	Ik bün dat nich wennt, Kaffe ahn Sucker to drinken.
nds-c3e715dbbda520ae29abd9ef4cc9f3de	Wenn se bloot noch leven deed...
nds-452b95bae7001f4f228fc17909a1f0b5	Ik heff man de Halvscheed von ehr Böker.
nds-3e52f78bf51d639bdebc6f5e6d9ebabc	Ik roop di later an.
nds-513e0f983df854f1995c71a5a98285b9	Ik kaam naher to di.
nds-97706092d86d2713656d5e0f586c18d5	He keem twee Stünnen later trügg.
nds-9bdd67917875b088d0d113fa1f4c0024	Hunnen köönt swemmen.
nds-6b9c6fd0b49074f5fc25848fe20b8308	Ik will slapen.
nds-56966e39c60f207ed7487011e1f739ae	Ik will en egen Kamer.
nds-432888405dea9df62c7acdf5d902dbd6	Ik will swemmen lehren.
nds-ec1391b57a26af9195363d9d859d8ff5	Ik will Swemmen lehren.
nds-ba6d9036105781ad970a3f2b3499ab12	Woveel Appels wullt du?
nds-85052b06b3b97e2beee977e37247495e	Ik will nich arbeiden.
nds-ff1b471ae697897be76657e434b1d559	He kann gau swemmen.
nds-29d93fa1688e96850461245ec32168cb	Loop nich so hart.
nds-7ee7e71ace82ce381b1c7e15e74cb565	Ik heff ehr för Minako hollen. De beiden seht sik so gliek.
nds-d2e6adb47b0adcc39c847d62c8cd1c38	Laat de Schoklaad smölten, do dor Botter bi un mengel dat good dör.
nds-02c9016bcfbab5d993af11f0f89d0ff2	Se geiht na School.
nds-f4aeb5623d5f0cafc24eed41da0acce0	He hett mi sien Fotoalbum wiest.
nds-53764f6d67d7cf613d0996c2237f9ac2	Loop so gau as du kannst.
nds-5fdda5a14aeed704809dd8259360503e	As se de Naricht hören deed, is se bleek worrn.
nds-c70516b663235b5e90fc1b68d891b20e	Ik heff de Naricht in ’t Radio höört.
nds-5d4565d2c7e6dd0d3e408aa97c138aa4	Se hett teihn Kinner.
nds-fa82619b5881dd3bfa96918529073c4a	De See is dree Mielen breed.
nds-aa44db8edf24def44757d865bda457da	Sette di daal un resse di.
nds-931a7d623850a80f178d28513fb92d7d	Ik denk an di.
nds-18cff0cd3cba8881b44040ffd6fbd0c1	Ik bün grötter as du.
nds-85b6af677d8ba00cc099b19f6ce33706	Ik kann nich ahn di leven.
nds-ac709d99c383e915ae924bbbcff1393c	Tony sprickt jüstso good Engelsch as du.
nds-8ab77433fde8964935a66649a74c8607	He leevt in dat Huus dor achtern.
nds-b27df4c61dee589b6ba5b3cf52731e07	He hett mi lang töven laten.
nds-4ceff41316c88c1f7953a27900997605	He wahnt in Kyoto.
nds-c60c504c8927f05fad066d95c049aba5	Wi denkt, dat wi dör dat Slimmste dör sünd.
nds-5e81c9f56fdfcf87cab15f92bcdf7dab	Wat föhrt harter, en Schipp oder en Tog?
nds-e41207ab92f4487b0e5db8ca5a203111	Wat kaakt ji?
nds-995ea1dee606e3bfa8f7cf57ed49d1c8	Wat hest du köfft?
nds-f66515dbb7b81540bc2ef8c2bc59cd20	Wat leest du?
nds-f72eda42a887809a2e2286d39e0940c6	He is en Dichter.
nds-6002d3558830dc082859378b9cda3377	Dat is roor.
nds-ff272c592c43dedc528cd64dcdfa9825	Dat is snaaksch.
nds-0af8067d05ce20f49aecda21e8a880a3	Dat is en Kiekschapp.
nds-928ce454fa01e198d5415e1a048895f4	Dat is en Disch.
nds-e49326b2620293dda5341e35f9e1c16b	Siene Hannen weren leddig.
nds-49d23f15cd2b5eadd46c262c4554a084	Ik fraag mi, woneem he sik verstickt.
nds-309c57e5c39ddbee9d983a0f650e96da	In ’n Winter treck ik en Mantel an.
nds-0a5b8b302d81fd4ebf412436d7d333ce	De Stad liggt an ’n Foot von ’n Barg.
nds-84629726242fdfa07ab4adec5cf2e3b8	So is dat.
nds-81bc3a61ff99d5ceebf74fb117642fcd	Vondaag is dat temlich koold.
nds-29807141977cdef435999053b481f8c1	Dat is noog för fiev Daag.
nds-9cbfa1df672c11150f07e518fc9b23d7	He is oold noog, üm alleen to reisen.
nds-716b900be9d20fd71d1d757c1519f8be	Du büst oold noog, üm dat beter to weten.
nds-c6af4455f58713670579d875ab83c1f3	Uns Stad warrt jümmer grötter.
nds-8aa5050917a5dc7c8cb391eefb057d8e	Ik kann nich mehr töven.
nds-7c00a4a5875627633cb7f17e8cbc7d6e	Se schrifft mit de linke Hand.
nds-70cb6e44b41dd46f538bf1bd4a53520c	Ät un drinkt.
nds-70cb6e44b41dd46f538bf1bd4a53520c	Ät un drinkt.
nds-028ced3d2d1385c6eb389c7d7d49baab	Mi geiht dat good. Un di?
nds-6a88ec5e1a70336047a2bae284851cdb	Mi geiht dat good, un di?
nds-f232c766ec500b1ebe77a6c55c9ed564	He snackt Engelsch un Fransch.
nds-4300878afeacf125b9a6f5b7ee977a13	He is groot un stark.
nds-b27f8a9d8331e8919ddc767fe3770c34	Ik heff twee Bröder un een Süster.
nds-a8e0d9a0223566a83a8c7deffb2ded32	Dat is al meist halvig twölv.
nds-eeb5ea38f8e5e51df6c36fecb290a96c	Dick hett Klaveer speelt un Lucy süng.
nds-17abaaaf9ab0bf7ae0efe3acb456e132	He hett en Hund un söss Katten.
nds-4fe6522d1a441a6eacea23e22746eb5e	Se hett een Söhn un twee Döchter.
nds-cc640aef1ea84c3f5c17cbdde7ad8d3d	Wees bedankt för dien Antwoord.
nds-2ebfef73e66073f689726dffbde0d580	Wees bedankt för de smucken Blomen.
nds-8ebdf1a660e4e9259cb48cfd0fc6e2d0	’Keen is disse Deern?
nds-00144686bff7bd128716535de7c846b1	’Keen hett dat Telefoon utfunnen?
nds-8790e1a63d3f1957999d3cb4086c83ea	Wat sik geern hett, dat brüüdt sik.
nds-7b9fb9499cd196fffaf2e8cfc87260a0	Wen häöert düsse Tasken?
nds-a2577a15e0528e12c4fe75d1d5db565b	Mit ’keen snackt he?
nds-225e9da0f7ab13e3d257c1930a122d72	’Keen höört dit Fohrrad to?
nds-0e7522fdb9a45165c80efb6e88070102	Ik weet nich, ’keen he is.
nds-ae06d8c01d20bd1897f2f5cf46d8dab3	Hunnen, de blafft, biet nich.
nds-a989c23cbdd740901cca4fdf2e813c75	’Keen höllst du di för?
nds-f71b87fd3fa5e577862946b51879e93b	Weet ji, ’keen dit Auto tohöört?
nds-b50e13059f3f0058a1a8a90db7e09194	Is nich allens Gold wat blinkt.
nds-004113b0276c3a5d196ab3f6aaf1f874	Is nich allens Gold, wat glänzt.
nds-2993107374b5e7b0423e1c8ad1907114	De Asch von mien Grootmoder is in en Urn in ’n Tempel.
nds-f43e6a6bfb2f5ec122537ee877a612fe	De Klocken von de Kark lüüdt.
nds-31df959ec50d24cdadfdf95883e5d306	De Karkklocken lüüdt.
nds-30c5084a448b8b03675b4e06e3ad09c5	Froo Smith föhrt mit dat Auto na Kark.
nds-547b23a060413fa0f6734164d77d00c8	Sien Öllern gaht elk Sünndag na Kark.
nds-e087bb7606cd6a38595e44a8cc1fc351	Löövst du, dat Fisch hören köönt?
nds-52164c834014a7bd39deec18ffe1c97e	Ik lööv, dat he riek is.
nds-adfdcf72eefbb0f3b8d9292a9559eea0	Ik heff mi ünner ’n Disch versteken.
nds-3e515822dbbc81109beb70fb95f6b4ec	Ik draap em faken.
nds-f1fc22e1c9148cfba4a47b2f975f3780	He kummt faken to laat.
nds-6eaecbcb8eb78542937d17213a1616ba	Carol kickt faken Horrorfilms.
nds-375eddec63204de3ff42174fa965f455	He simmeleert faken mit slaten Ogen.
nds-2c5d2d4f4e75ca84cc44d7a733c4b4ab	Mien Moder hett faken Koppwehdaag.
nds-844544d02843cb69c75649fd7cbc5b4d	Ken hett en Gitarr.
nds-4998855349d521c8505f76de8fbdbda1	Cecil deed en Kars ansteken.
nds-d5e6271b439def4e90c1fa28b27436fa	Laat uns verpuusten.
nds-d5e6271b439def4e90c1fa28b27436fa	Laat uns verpuusten.
nds-e5a5c2dbd2c12b7d1971c8d693accc36	Ick häb en Dochter.
nds-028628cb80bb97c29861b377fdb12684	He hett en Dochter.
nds-31017296653dcd7cf619751872396d99	He harr en Dochter.
nds-60bbf59625912bfc40e73c45bc71b13d	He harr een Dochter.
nds-c8cee64b7634d7468c3d9a2f4ca79a9f	Krieg ik en Narv?
nds-6518c789f30134a67c149e686694b890	Ik kenn jo nich.
nds-a5dd45c94fbc577754417b29f0b31e27	Heff ik nich recht?
nds-2284be6488056f779389cd4dbb314733	Maak de Döör nich apen.
nds-dcc77a09d56ff3fc89deba4d3e12c574	He is keen Dokter.
nds-226c24a3d04868b116129481ce1e85ed	He kennt mi nich.
nds-03674d52969574dd27cb53c88db894bd	Gaht ji to Foot na School?
nds-cad95a17e91396be1f6358a71f49ab8f	Ik bliev in Osaka.
nds-63ce34c3353fc7fd75d42e9ca245c51e	He leevt in Nagasaki.
nds-ffaeca10b58b76b12a5a396a72c7074b	He is dör dat Finster rinstegen.
nds-2d809eb4eeef3b040c07f31071448cbc	Laat uns teihn Minuten Paus maken.
nds-89bdfb51ff882073ca9381927c2a1dab	He hett teihn Keih.
nds-70f240acf7ef9f1ef2c04d3df15f6cbc	Ik bün Klock teihn trügg.
nds-15ca30c76f9718fe94b833b1934ab493	Ik heff dat för teihn Dollar verköfft.
nds-e664f05b34ea9ab6bd2244beb93ab132	Se is nich öller as achtteihn.
nds-2c47d80516abad6921259b37a66e0b1b	Ik wahn mit mien Unkel tohoop.
nds-6591db98e6cfb70c9906bb267fe1f5c9	De Kinner speelt mit dat Speeltüüg.
nds-b8af57abf9b6d0720ddf3b35dbf5253d	Ik gah vonavend mit Lisa ut.
nds-b378bcf3b18025c6f65ad9c1eb44bce2	Snied den Koken mit en Mest.
nds-333017bbb4da670daaca5ab933f33ad4	He striddt sik jümmer mit sien Froo.
nds-7ee7c1209e985c92545fc4da5a9fdf17	He striddt sik jümmer mit siene Froo.
nds-39acc477e8bc6c65e494e2b9a06405f0	He slöög den Hund mit en Stock.
nds-ee1835efc068400a74572fb5f1fe5375	Speel nich mit ehr Geföhlen.
nds-5ffee3336d3d222a77a7f4066b8dcc19	Se striddt sik jümmer mit ehr Öllern.
nds-d8898aad19706496acb6ef85972b3072	Se snackt mit ehr Öllern över allens.
nds-a36fc8e1f597e3fbdac879ee0144d26b	Ik heff en Probleem mit mien Wagen.
nds-ec9884bb08cb08bf380557143b5c417d	Wo geiht di dat?
nds-3eecce16656f3c123b7018e74e4e8eca	Wat wüllt wi?
nds-e466b8863d4097f3da06f980c3c445a9	Stöört jo dat, wenn ik smöök?
nds-d059c1076b05508056c13f1f0515306d	Dat verwacht de Briten von jemehr Königin.
nds-9ba542a77ad56b816410607a43332771	He geev jem Eten un Geld.
nds-f91d435d843d5225711b21344050be56	Ik heff jem to de Geboort von jemehr Dochter graleert.
nds-cc91bdd5d19140546f3e9458af87fcce	Jedereen mag em hebben.
nds-75d5eace9bc29f9f5f626110e419c36c	Kiekt jo de Weltkoort an.
nds-ad694d845686ebed373db205222df5d0	All wüllt blangen ehr sitten.
nds-52d69248472e025d19e97999155e05e9	He stünn op.
nds-2cb94f00bc9b50c823021264b35273c9	Wult ji nao en Köpken Kofi?
nds-be3f29b974bf9840e21c413c158f1010	Kann ik noch en Glas Beer hebben?
nds-2815321ec67f1dad99ad772ec637bf95	Jo, he hett dat al schreven.
nds-123114f189e4ff23627589657935cbb3	Segg mi de Wohrheid.
nds-09901527638acc0f1de7ed4ff225bf2d	Ik kann Ski föhren.
nds-533d8447174556370b0dde1891f8fcfa	Kannst du swemmen?
nds-13c8e8ad32f21b57bb02de5218bba1bb	Ik weet.
nds-21e79d1e95251304a70f22c84c70cf42	Ik weet nich, wat ik maken schall.
nds-88582766f63ff8177d84f9b18ebbce3b	Ik kaam ut Saitama.
nds-c56e2b53dde0c568f49b750dcebabb70	Ik kaam.
nds-6283e73a8c8adbe12f40ad2005c50a55	Kaam mi besöken.
nds-11b14060b0bac8a7ae7d61766c3999c9	Hebbt ji dissen Artikel leest?
nds-20f82f121d597f9a4f6238db7087f1f3	Ik heff vonnamiddag Tied.
nds-55d3964b327099681d7ffe57dc766551	Ik weet nich, ’keen disse Mann is.
nds-e0d0b3c5162170eaa2fd7b909c61f5c9	Mary kann swemmen.
nds-d0617704498c88979e17965cfc7871d8	He kann swemmen.
nds-76abd7425ba6c089fbcd7eea2b5012af	Tom kann noch nich swemmen.
nds-9979b28f842fdebc72ecae7e51cb9c07	Kann diene Mudder Auto föhren?
nds-323e80954fe0dcf2fe17c9001bd142e2	Se wahnt dicht bi de See, man se kann nich swemmen.
nds-510da3ac5b104744cca6d2df05edc753	De Rhien is de Grenz twischen Frankriek un Düütschland.
nds-cab8a03e94ecf48229190b0335d8b44f	Ik leev in ’e Stad.
nds-5607d114eed7c3addd643f95e1ed5d1c	Se arbeidt bi de Bank.
nds-73b010761f3e76b468b28767ff24a3cb	He arbeidt bi de Bank.
nds-79b989f230284aa693ec456ea6c7a4bb	Ik roop in twintig Minuten wedder an.
nds-af26da55c2bd33ee9ef99a5c48204905	Mien Kontoor is in de Binnenstad.
nds-bf0a2430de43274c19ccdfedfd13ffb5	Fisch leevt in de See.
nds-92058c3252f8316fa7b69301cbafd2f0	Uns Katt is in ’e Köök.
nds-768bdb0cf2e20c500c78299c1bf4268d	Eric is in uns Footballmannschop.
nds-e07651b5596af6f6146e2fef2a136a07	Ik bün in en poor Minuten trügg.
nds-8e6814025f25740bd8f573168576cab5	Herr Wang kummt ut China.
nds-d3fdd998d120bc92612772f079ffb06c	Jane kummt ut Australien.
nds-fa2731f7218566d7ef012dfa8f07567a	He kummt ut England.
nds-8a70f196c4322f38b02b69326001e2dc	He is jüst trüggkamen.
nds-969377da019157a5af5764a4a50c908b	He kummt meist jeden Dag her.
nds-bd243725bbb24d5cd4bffe7cc3d99ba4	Mien Unkel kummt uns morgen besöken.
nds-a214be2811318ac1c0be7b3d746c70e7	Ik heff em sehn.
nds-22af02ae1862b8e8b35d366aa35c654d	Ik heff em swemmen sehn.
nds-be1b0a648fc03bf937becdf8a645c640	He hett nüms sehn.
nds-4f8f0058c6bfd40974190d2beb9f1a22	Maak keen halven Kraam.
nds-ea9fba892bbc5fe99042129d0d749486	He sprickt fief Spraken.
nds-d162e8a46eca69d5750e52148025eca2	Se wüllt bi de Olympschen Spelen mitmaken.
nds-86721bdaf42e64940ac8213119e99817	Ik mutt op sien Breev antwoorden.
nds-456b48534c73507567bbcd8894b9b685	Ik mutt ehr morgen de Wohrheit seggen.
nds-cdf2f6d49dbbb8f7745d3d1477af9efb	Ik mutt Klock dree an ’n Bahnhoff wesen.
nds-af3594fdc585bac2d341c08d18ead73b	Wo faken mutt ik di dat seggen?
nds-925c60945dd9099c5dd5d67fc36f0538	De Reken mutt vondaag betahlt warrn.
nds-a139c686c99885a3cd5c2cd4f8a47dea	De Tell mutt vondaag betahlt warrn.
nds-03cceecaf3f9c2491b70dc69bc547b50	Blievt, wo ji sünd.
nds-799f102f1c2f34f6fb1aaa8ea6883b00	Wo oold sünd joon Kinner?
nds-234a2066e82e6bd83b0d5a33465958ce	Ik söök mien Brill.
nds-638a8eed7f8e12267ea133534acec8f0	Miene Frünn nöömt mi Beth.
nds-57ce12d3831f1b849b5acf9a76c8ecf2	Mien Süstern sünd all beid verheiraadt.
nds-91ff02b5b32a0fc2eed739c2c8b64610	Ik heff mien Brill verloren.
nds-f3f919281948b0f45929367337a6e134	Ik heff jüst mien Huusopgaven trechkregen.
nds-bb1e3424851fa7cabdd205a117271f6d	Jack is een von mien Frünn.
nds-e4df4def9c2b006c7be0985269414ac8	Ik heff mien Naverslüüd to ’n Avendeten inlaadt.
nds-31c5131c8bb8160fe66277c23d0249e4	Ik heff dat in ’t Daagbladd leest.
nds-504076b35fa8bfd96a1afeffb171de5a	He hett dat Book noch nich leest.
nds-b7c92bfa25e2d54f464c88056358eb8a	Hebbt ji al dat Bladd von vondaag leest?
nds-1c968d79efa85c55f9416c3433c93a2b	Ik heff dat Book güstern bet Sied 80 leest.
nds-7c9ee58f0838bea392daeb16e9bff8b7	Treck diene Schoh ut.
nds-bdb8a9ad90fc646d18e0d3351e2886cf	Holl dien Ogen apen.
nds-dedcd50034cc617eeb2e04046035af7e	Hest du dat dien Öllern wiest?
nds-91c7ea65d00fd586565f916663ea4367	Hest du diene Kuntaktlinsen funnen?
